질문 ,LG,두산,KIA,한화,키움,삼성,롯데,NC,KT,SSG
스포츠는 과정이 어찌 됐든 내가 응원하는 팀이 이기는 게 가장 중요하다,5,4,5,1,2,4,2,3,3,4
경기장에 가면 목이 쉴 때까지 노래 부르고 소리 지르며 스트레스를 풀고 싶다,5,4,5,4,1,4,5,2,2,3
전통 있고 우승 경험이 많아 사람들에게 유명한 '명문 팀'을 응원하고 싶다,4,4,5,2,1,5,3,1,1,3
깨끗하고 현대적인 시설과 맛있는 먹거리가 풍부한 경기장이 중요하다,2,2,4,3,5,5,2,5,4,5
내가 응원하는 팀이 계속 지더라도 쉽게 포기하지 않고 끝까지 응원할 수 있다,3,3,3,5,3,2,4,3,3,2
팀 유니폼이나 굿즈 디자인이 예쁜 걸 선호한다,5,4,3,3,3,3,3,4,3,4
끝날 때까지 결과를 알 수 없는 짜릿한 역전승을 자주 보여주는 팀이 좋다,4,5,4,2,3,3,3,3,4,4
누구나 알 법한 유명한 선수가 많은 팀에 더 마음이 간다,5,3,5,4,2,4,3,3,3,5
"처음부터 완성된 팀보다는, 어린 신인 선수들이 성장해서 강해지는 모습에 보람을 느낀다",2,3,2,4,5,3,3,4,3,2
"SNS 소통을 잘하고, 팬들을 위한 재미있는 이벤트나 먹거리 기획에 진심인 구단이 좋다",4,3,3,3,2,4,3,4,4,5
내가 응원하는 팀이 지면 그날 하루 종일 기분이 우울할 정도로 과몰입하는 편이다,4,4,5,4,1,4,5,2,2,3
"너무 엄숙하고 진지한 분위기보다는, 자유롭고 유쾌한 분위기의 팀이 마음에 든다",3,3,3,5,4,2,4,4,4,4
"먹거리나 응원 열기보다는, 오직 경기 그 자체와 승부에 집중하는 편이다",3,4,3,2,5,4,2,4,4,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,질문 ,,,,,,,,
