순,item 이름,팀 full name,팀 설명
1,롯데,롯데 자이언츠,"상대팀도 응원가 흥얼거리게 만드는 마성의 팀!
부산 앞바다 뱃고동 그리고 갈매기 소리가 울려퍼지면 안타를 쌔리는 롯데 자이언츠 
그 어떤 고난과 시련이 온다해도 언제나 롯데를 외치는 팬들의 열정이 매력 포인트!"
2,키움,키움 히어로즈,"우천취소 없는 유일한 돔구장 보유 구단, 서울의 키움 히어로즈 
젊은 선수들의 성장 서사를 가장 가까이서 만날 수 있는 팀! 
훗날 메이저리거가 될 선수를 누구보다 먼저 응원하고 싶은 사람에게 추천!"
3,한화,한화 이글스,"대전 꿈돌이와 감다살 콜라보부터 수많은 연예인 골수팬까지 화제성 1등! 
암흑기를 함께 견뎌낸 팬들과 이젠 비상을 준비하는 한화 이글스 
성적도, 서사도, 팬심도 놓칠 수 없는 사람이라면 한화라서 행복합니다~"
4,SSG,SSG 랜더스 ,"’구도 인천‘의 자부심, 뜨거운 야구 열기의 중심 SSG 랜더스 Xi 
젊은 선수들의 패기와 베테랑 선수들의 노련함으로 만들어낸 조화로운 팀워크 
현재의 경쟁력과 미래의 가능성을 Everyday 응원하고 싶다면 대환영!"
5,LG,LG 트윈스,"KBO 유일 '무적'을 외치는 서울의 자존심 
29년 만의 통합우승 이후 꾸준한 상위권 성적울 유지하며 강팀으로 거듭난 LG 트원스 
전통과 성적 모두 갖춘 강팀을 찾는 사람에게 추천!"
6,NC,NC 다이노스,"마산과 창원을 대표하는 경남 유일의 구단, NC 다이노스!
데이터 야구를 바탕으로 공룡 군단만의 혁신과 도전을 보여주는 팀! 
끊임없이 변화하고 성장하는 팀의 매력에 빠져보고 싶은 사람에게 추천!"
7,KIA,KIA 타이거즈,"그 어느 팀보다 뜨거운 열정과 화끈한 응원을 자랑하는 광주의 호랑이 군단! 
응원석을 가득 채우는 흥과 에너지를 느끼고 싶다면 기아 타이거즈 했오라이기아 땜시 살어야 
야구도 응원도 누구보다 신나게 즐기고 싶은 사람에게 추천!"
8,두산,두산 베어스,"미라클 두산이라는 별명처럼 수많은 명승부의 역사를 가진 서울 야구의 한 축!
누구보다 열심히 치고 달리는 허슬두 정신 선수들이 보고 싶다면 두산 베어스 
팀 컬러가 어떻게 먹.산? 맛있는 야구를 즐기고픈 최강10번타자 대환영!"
9,삼성,삼성 라이온즈,"KBO를 대표하는 명문 구단이자 대구의 푸른 자부심!
엘도라도가 울려 펴지는 압도적인 응원 열기를 느끼고 싶다면 삼성 라이온즈 
푸른물결 속에서 승리의 순간들을 함께하고 싶은 사람에게 추천!"
10,KT,KT 위즈,"KBO 막내 구단에서 우승 구단까지! 
수원을 빛으로 물들이는 원격 응원봉과 함께 마법 같은 빅토리를 만들어가는 Kt 위즈 
젊고 트렌디한 야구 문화로 반짝이는 야구장을 출기고 싶은 사람에게 추천!"
